page	claim	claim_label	tags	claim_source_domain	claim_source_url	date	source_body
http://www.emergent.info/ebola-purdon-hoax	Claim: The town of Purdon, Texas was quarantined after a family of five tested positive for Ebola	false	['Ebola', 'Fake News', 'Hoaxes', 'National Report', 'Texas']	nationalreport.net	http://nationalreport.net/texas-town-quarantined-family-five-test-positive-ebola-virus/	2014/10/15	"b""The page you've requested can not be displayed. It appears you've missed your intended destination, either through a bad or outdated link, or a typo in the page you were hoping to reach."""
http://www.emergent.info/-woman-shot-rubber-bullet-ferguson	Claim: A woman lost her eye after being hit with a bean bag shot by police in Ferguson	true	['Ferguson', 'Police Shootings']	facebook.com	https://www.facebook.com/photo.php?fbid=348899428625940&set=a.276201142562436.1073741825.100005176577248&type=1	2014/11/27	Press alt + / to open this menuRemoveTo help personalize content, tailor and measure ads, and provide a safer experience, we use cookies. By clicking or navigating the site, you agree to allow our collection of information on and off Facebook through cookies. Learn more, including about available controls: Cookies Policy .
http://www.emergent.info/nigerian-women-fought-off-boko-haram	Claim: Image shows a group of Nigerian women armed with AK-47s who saved a town and school from Boko Haram	false	['Boko Haram', 'Mali', 'Nigeria']	facebook.com	https://www.facebook.com/HaSoGCA/posts/744814738948517:0	2015/02/01	Press alt + / to open this menuRemoveTo help personalize content, tailor and measure ads, and provide a safer experience, we use cookies. By clicking or navigating the site, you agree to allow our collection of information on and off Facebook through cookies. Learn more, including about available controls: Cookies Policy .
http://www.emergent.info/bruno-mars-michel-jackson-son-hoax	Claim: A DNA test proved that Bruno Mars is Michael Jackson's son	false	['Bruno Mars', 'Celebrity Deaths', 'Fake News', 'Hoaxes']	empirenews.net	http://empirenews.net/dna-results-confirm-michael-jackson-is-biological-father-of-bruno-mars/	2015/01/05	DNA Results Confirm Michael Jackson Is Biological Father Of Bruno MarsPosted on| Like 0NEW YORK, New York – Vladimir Kershov, publicist of R&B singer Bruno Mars, has been fired today after he revealed a shocking secret regarding the pop and R&B singer. Kershov leaked private information that revealed that Michael Jackson is Mars’ biological father.In a statement emailed to news and media outlets across the world, Kershov revealed that he was told by the singer that DNA testing had proven that Jackson, known across the world as the King of Pop, was without a doubt his biological father. After pleading with Mars, born under the name Peter Hernandez, to go public with the revelation, Mars refused to do so. Kershov insisted that it be made known to the public, and that the news would catapult the singer’s fame and boost record sales. Mars remained adamant that the information not be released. According to Kershov, he then took it upon himself and emailed the shocking news to media sources all over the world.“DNA testing has proven that Michael Jackson is the biological father of Bruno Mars,” Kershov said in the statement. “Against his wishes, I have decided to relay this message for the greater good and betterment of Bruno’s life and extravagant music career.”In a statement released by Mars’ new publicist, Jacqueline Pryor, it has been announced that Kershov was immediately fired by the singer, and may seek legal action against his former publicist. “The job of a publicist is indeed to better the career of their clients by persuading them to take part in things that cause their popularity to grow, however, the client must trust their publicist. The artist has the final say, no matter what.”When asked about the validity of Kershov’s statement, Pryor surprisingly made it clear that the information is accurate. “It is true. Doesn’t mean he was right in saying so, but it is true. When it comes to 29-year-old Bruno Mars, Michael Jackson is the father!”
http://www.emergent.info/smaller-Apple-Watch-edition-price	Claim: The smaller gold Apple Watch Edition will cost $7,999 USD.	false	['Apple Watch', 'Apple Watch Edition', 'Apple Watch Price', 'Grail Watch', 'Stephen Foskett']	grail-watch.com	http://grail-watch.com/2015/02/16/gold-apple-watch-edition-must-cost-10000/	2015/02/16	b'The Apple Watch is a fairly large chunk of gold!Get ready for the tech press to flip out when Apple announces the retail price for the gold Apple Watch Edition model. Apple critics have always roasted the company for selling productsA that are more expensive than they should be, and they frequently use this as a wedge topic to criticize buyers. But the 18-karat gold Apple Watch Edition will set a whole new bar with a sales price of $10,000. The funny thingA in this case is that Apple is perfectly right to be charging that much!Do you disagree? Check out my counterpoint, The Case Against the $10,000 Gold Apple Watch EditionGold is ExpensiveLets start with a little backgrounder in gold.A Everyone has a vague sense that gold is expensive. Even rabid Internet trolls have seen the banner ads and heard about that in the news. But most people dont understand just how expensive even a little bit of gold is.A So this is a good place to begin the discussion.Update: My calculations were wrong!A Also, this was a bit back of the envelope. Now that it has some readership I realize I should go back andA fix the calculations inA theA article to be more realistic...Here are the basic facts:Gold currently sells for between $1,200 and $1,300 per troy ounce and has been over $1,000 per troy ounce for the last five years.18-karat gold contains 75% pure gold, and that term is regulated by law.One ounce of 18k gold occupiesA about 1.8 cubic centimeters of volume since a typical 18-karat gold alloy weighs about 16.5 grams per cc.18-karat gold currently sells for $29.11 per gram, $905 per troy ounce, or $480 per cc..25 ccA of 18k gold is about enough to construct a watch buckle and .75 cc gets you a deployant clasp. It takes a few more to build a watch case, anywhere from 1.5 to 8A cc depending on the size and thickness of the case. So the buckle is worth $120-$360 and the watch case $720 to $3800 just as raw gold. This is why gold watches generally sell for a lot more than $6,000!Gold Watches are ExpensiveLets apply this to a watch case. Imagine you wanted to create a rectangular case 42 mm high by 36 mm wide by 10 mm deep. If it was solid, this would equalA 15.12 cc of volume. But its a watch case, so you have to leave room for the movement, dial, case back, etc. So letsA just leave 5 mm of thickness all around, making a hollow rectangle. This equals 6.8 cc (42 x 36 x 10  32 x 26 x 10). Therefore, the raw gold to make just the case of this hypothetical watch would cost $3,200A as of this writing.A simple 42x36x10 mm rectangle of 5 mm thick 18-karat gold would costA more than $3,200Now lets consider the same shapeA but just 2 mm thick. Thats 2.9 cc of gold, worth $1,400. Pick your thickness and youre still looking at thousands of dollars worth of gold.How does this translate in the real world? Lets look at the retail price of some watches thatA are available in both stainless steel and 18-karat gold.This Cartier Tank MC is $15,000 more in 18k goldThe Cartier Tank MC measures 44 mm by 34 mm by 9.5 mm thick: $15,000 extra (list) for 18k goldCartier Tank MC in stainless steel: $7,000 list, $5,800 streetCartier Tank MC in 18k pink gold: $22,000 list, $18,200 streetTheA Jaeger-LeCoultre Reverso Squadra Hometime measures 50.5 mm by 34.9 mm by 14 mm thick: $14,750 extra (list) for 18k goldJaeger-LeCoultre Reverso Squadra Hometime in stainless steel: $8,550 list, $6,800 streetJaeger-LeCoultre Reverso Squadra Hometime in 18k pink gold: $23,300 list, $18,400 streetThis list could go on and on, but the gist is simple: 18-karat gold cases cost a lot more than stainless steel. In fact, its pretty much impossible to find a gold watch for under $10,000 in any size and from any manufacturer. Even tiny quartz ladies watches like the tiny Chopard Happy Sport Mini sells for $11,000! Most of the bargains commenters have pointed to are either 14-karat or less, very slim and small, or long out of production and with outdated pricing.Then theres the bracelet. SwapA a gold bracelet for a leather strap and you are looking at an extra $20,000. Adding a gold bracelet to thatA Jaeger-LeCoultre bumps the price to $42,900!Certainly there is quite a bit of profit in luxury watches, but one simply cannot deny the raw material valueA in a gold watch case. And the gold market is liquid like stocks and other commodities: There are plenty of buyers and sellers of gold, and plenty of reserves, so no company, no matter how strong, can expect favorable pricing from their suppliers.Another reason companies charge so much for gold watches and jewelry is as a hedge against volatility. They cant priceA near the commodity price because they have to set a price and stick to it all year long. So they generally price somewhat higher than they would, even taking into consideration all the rest of the materials, labor, distribution, and profit in a watch.The Apple Watch Edition Will Cost $10,000Theres a reason I picked those twoA watches for my comparisons: Both are similar in size and shape to the 42 mm Apple Watch. The Cartier is a little smaller and theA Jaeger-LeCoultre is a little larger, but bothA represent a traditional watchmakers gold-cased square-ish offering in the space. And both cost more than $20,000, with much of that price going to the gold case and matching buckle. And Jony Ive recently said that the historic Cartier Tank was one of his inspirations for the Apple Watch design!Apple would be crazy to sell the Apple Watch Edition for $20,000, though. ThatsA not going to happen. So theyre likely to find ways to reduce the cost dramatically.First, as we can see, the Apple Watch case is highly rounded in all three dimensions. Although questionable from an estheticA standpoint, this reduces the amount of material required by quite a lot.A Second,A Apple Watch has a large sapphire crystal front and back with the display, sensors, and such.A Third,A the interior frame is likely made of steel or aluminum, not gold, to reduce cost and increase commonality with the aluminum and steel versions.Could it be gold plated? No. Numerous reports state that it is a solid gold case. Although Apple has not apparently used the word, solid in their press releases, they do claim it is crafted from 18-karat gold andA nowhere does it say it is plated or gold filled (the industry term). There are laws covering descriptions of metal content for jewelry and Apple cannot break these any more than Tiffany could.Apple says that the Apple Watch will start at $349 for that aluminum Sport model, and many bloggers have reported the price for the steel Apple Watch to be roughly $1,000.A It is reasonable to assume that the gold Edition model will sell for substantially more than this, with many suggesting $4,000 or $5,000. But remember that this price would only cover 4 or 5 ounces of gold! Even with thin walls and a steel frame, its hard to see how Apple could make a solid 18-karat gold case and buckle for a 42 mm watch with just 3 ounces of gold.Gold is soft, but Apple claims that their special gold isA twice as hard as standard gold.A Taking that at face value, perhaps they reduced the thickness of the case commensurately, cuttingA the amount of gold in half versus a standard rectangular watch. This still leavesA a few thousand dollarsA of material value in the case.A The Apple Watch Edition will come in 38 mm and 42 mm sizes, a difference of about 20% in terms of case volume. So the smaller model could sell for 20% less still.My prediction is that the 42 mm Apple WatchA Edition will retail for $9,999 with the 38 mm Apple Watch Edition retailing for $7,999. This covers the cost of the gold case, the internals, manufacturing, sales, and profit, and yet does not leave AppleA subsidizing the world gold market by selling at a discount or cheating with a too-thin or plated case. I will be shocked if the price is $4,999, but I suppose its possible with some finagling and if thats the smaller model. And it will not be any less than that.This is a $10,000 productBonus prediction: Given the very high price of the Apple Watch Edition, I predict that availability will be quite limited. Apple will likely create special store-within-a-store spaces inA certain Apple Store locations for the Edition.A I further expect them to open special standalone Apple Edition Boutiques to sellA theA Watch Edition, accessories, and perhaps other future high-end products.Update!Needless to say, many people disagree with me. And now that @Gruber Fireballed this post,A I imagine Ill hear from lots of them real soon!The gist of theA disagreement lies in the amount of gold neededA for theA watch case. I assumed it would be quite thick (read sturdy) and would contain upwards of 130 grams of 18k gold. Then theres the strap lugs and buckle which would likely contain another few dozen grams. But @GAK_PDX A (and others, though he was most visually eloquent) suspects it contains much less gold.For fun, I took my Apple Watch models and used SW and some basic assumptions to figure the gold content. 29.16g: pic.twitter.com/WGEnjtj1Yh Greg Koenig (@gak_pdx) February 19, 2015I think this number is way too low, but its a good lower bound if the case was very thin and completely hollow. And it puts the raw gold at about $849A at $29.11 per gram of 18k gold. Although this is admittedly much, much lower than my estimate, it still illustrates my point that the Apple Watch Edition is not going to be cheap. And I think hes way off but time will tell who is right and who isA wrong.Another argument is based on this 2006 analysis of a gold Rolex watch. Right off the bat one should point out that gold cost $400/oz when it was written and that watch includes a gold bracelet as well, something Apple is apparently not going to do with the Edition.A That Rolex case contained 18.5 grams of gold alloy, but its much, much smaller than the Apple watch and its circular to boot! A 34mm circleA is 107mm in circumference, while the 42mm Apple Watch is 156mm in circumference.A Use the magic of math to scale theA Rolex up into a 42mm rectangle and were at 27.75 grams. But that caseA is also much thinner since we excluded the bezel, and the Apple Watch is pretty slab-sided. So we can probably double this safely and come out withA $1,615 of gold in my mangledA square Rolex case.So there are lower estimates than mine for the amount and value of the gold. I can accept that. But lets take a step back andA think about the final price.A Even if it contained less than $1,500 of gold, how much would it sell for? Certainly not $2,000 or $3,000. You still have to account for the cost of everything else, plus the intangibles of manufacturing and distribution. And profit for Apple (and a hedge against theA volatility of the price of gold). So were back at the $4,000-$5,000 estimate others have made. As Greg Koenig tweeted, and Forbes reported, If anyone thinks Apple is charging less than $5k for the Edition, they are smoking crack.Regardless of the total, its important to realize that the price of gold is in the drivers seat when it comes to pricing the Apple Watch Edition.Id love to be wrong,A and I look forward to updating this piece. Thanks for reading!Related Posts via TaxonomiesThe Case Against the $10,000 Gold Apple Watch EditionA Watch Guys Review of the Apple WatchHow Good Is the Mondaine Helvetica Smart Watch?Hamilton Electric VenturaPatek Philippe 5015 Moon Phase Power Reserve: Calatrava PlusPatek Philippe Calatrava 5090J: The Russian WatchThe Revolutionary Smart Watch from Apples Designers (Circa 1990)What If Your Company Gave You a Limited-Edition Gold Patek Philippe?What People Look For When They Look At WatchesTwo Rare Seiko Historical WatchesTags: Apple, Apple Watch, Cartier Tank MC, Jaeger-LeCoultre Reverso Squadra Hometime, goldShare this:EmailPrintFacebookTwitterPinterestGoogleRelated Posts via TaxonomiesThe Case Against the $10,000 Gold Apple Watch EditionA Watch Guys Review of the Apple WatchHow Good Is the Mondaine Helvetica Smart Watch?Hamilton Electric VenturaPatek Philippe 5015 Moon Phase Power Reserve: Calatrava PlusPatek Philippe Calatrava 5090J: The Russian WatchThe Revolutionary Smart Watch from Apples Designers (Circa 1990)What If Your Company Gave You a Limited-Edition Gold Patek Philippe?What People Look For When They Look At WatchesTwo Rare Seiko Historical Watches'
http://www.emergent.info/mob-attacks-adulterous-woman	Mob Strips Adulterous Woman	unverified	['CEN', 'China']	dailymail.co.uk	http://www.dailymail.co.uk/news/article-2791108/mob-rule-chinese-adulteress-stripped-naked-beaten-senseless-latest-attack-kind.html	2015/01/01	"b""She was violently stripped naked and beaten senseless by a mob of women on a busy shopping street ... but the police never came. Indeed, nobody intervened as Lin Yao Li, 38, was kicked in the groin and breasts as she writhed screaming in agony on the pavement. The reason, onlookers said, was that it was an 'argument of the heart' - she didn't deserve help because had slept with another woman's husband.It is only the latest in a number of similar incidents in which it seems there is placid acceptance in Chinese society of such humiliation, as long as the victim is seen as deserving in having caused a man to cheat on his partner. Scroll down for video of last month's near-identical attack   Vigilante justice: Lin Yao Li, 38, was ambushed by four women as she walked home from the shops in the city of Puyang in eastern China's Henan Province  Punching and kicking her to the ground while she writhed in agony, her attackers then ripped her clothes off and continued the beating, pulling her hair and kicking her in the breasts and groinOn this occasion, Li, 38, was ambushed by four women as she walked home from the shops in the city of Puyang in eastern China's Henan Province.Punching and kicking her to the ground while she writhed in agony, her attackers then ripped her clothes off and continued the beating, pulling her hair and kicking her in the breasts and groin.RELATED ARTICLESPrevious1NextViolence hits Hong Kong protests as hundreds of masked men...Disfigured, blind in one eye, but denied help: India's acid...Share this articleShareThe sickening attack they said was carried out by the scorned wife of the man Lin is accused of sleeping with, and her three friends, and it was watched by passers-by who did not think it was their duty to help the defenceless woman. Humiliation: It is only the latest in a number of similar incidents in which it seems there is placid acceptance in Chinese society of such humiliation, as long as the victim is seen as deserving in having caused a man to cheat on his partner  Sickening: The sickening attack was allegedly carried out by the scorned wife of the man Lin is accused of sleeping with, and her three friends, and it was watched by passers-by who did not think it was their duty to help the defenceless woman   Becoming normal? Local man Jun Feng, 30, who helped the woman after spotting her lying on the ground after her attackers left told local TV: 'This type of thing is becoming quite normal'Local man Jun Feng, 30, who helped the woman after spotting her lying on the ground after her attackers left told local TV: 'This type of thing is becoming quite normal.'Angry wives and girlfriends get their revenge on their cheating men by attacking the other woman.'People don't tend to get involved because they see it as being an argument of the heart,' he said.The woman was later taken to hospital where she was being treated for cuts, severe bruising and shock after begging someone to call an ambulance.   Injured: The woman was later taken to hospital where she was being treated for cuts, severe bruising and shock after begging someone to call an ambulance Last month a similar attack happened in Jinan city, in Eastern China's Shandong Province, when three women were videod wearing stilettos stripped and stamped on a women they accused of being a mistress and making the husband cheat.Another attack was caught on camera in July in China's south-eastern city of Yulin, Guangxi province.A police spokesman declined to comment, saying they had not received any complaint from any of those involved.  """
http://www.emergent.info/Texas-Sharia-law	Claim: A jurisdiction of Texas is now under Sharia law	false	['Dallas', 'Sharia Law', 'Texas']	breitbart.com	http://www.breitbart.com/texas/2015/01/27/hold-islamic-tribunal-confirmed-in-texas-its-voluntary-says-attorney/	2015/01/29	Islamic Tribunal Confirmed in Texas; Attorney Claims ‘It’s Voluntary’Islamic Tribunal Websiteby Bob Price 27 Jan 2015 027 Jan, 201527 Jan, 2015An Islamic Tribunal using Sharia law in Texas has been confirmed by Breitbart Texas. The tribunal is operating as a non-profit organization in Dallas. One of the attorneys for the tribunal said participation and acceptance of the tribunal’s decisions are “voluntary.”Breitbart Texas spoke with one of the “judges,” Dr. Taher El-badawi. He said the tribunal operates under Sharia law as a form of “non-binding dispute resolution.” El-badawi said their organization is “a tribunal, not arbitration.” A tribunal is defined by Meriam-Webster’s Dictionary as “a court or forum of justice.” The four Islamic attorneys call themselves “judges” not “arbitrators.”El-badawi said the tribunal follows Sharia law to resolve civil disputes in family and business matters. He said they also resolve workplace disputes.In matters of divorce, El-badawi said that “while participation in the tribunal is voluntary, a married couple cannot be considered divorced by the Islamic community unless it is granted by the tribunal.” He compared their divorce, known as “Talaq,” as something similar to the Catholic practice of annulment in that the church does not recognize civil divorce proceedings as ending a marriage.He also said there is a difference between how a man and a woman can request a divorce under their system. “The husband can request the divorce directly from the tribunal,” El-badawi stated. “The wife must go to an Imam who will request the divorce for her.” He called it “two paths to the same result.” The practice of Khula is the process where a wife can initiate a divorce proceeding and where the husband can agree to the divorce in exchange for a financial compensation. It appears the wife must agree to give up any claim to the “dower” that was not already paid or to return it if it has already been paid. Once the financial issues are resolved the husband can then proclaim the Talaq (divorce).El-badawi said they follow Texas family law when it comes to child support, visitation, and custody. He said that in most cases, custody of children is awarded to the mother.Breitbart Texas asked what happens when there is a conflict between Sharia law and Texas law. El-badawi said most of the time, the laws are in agreement. When pushed further he admitted that, “we follow Sharia law.” However, he explained, “If the parties are not satisfied with the tribunal’s decision, they do not have to accept it and they can take the matter to Texas civil courts.” He did not say what the social ramifications of rejecting the “judge’s” decision would be.The website for the Islamic Tribunal states, “The courts of the United States of America are costly and consist of ineffective lawyers.  Discontent with the legal system leads many Muslims in America to postpone justice in this world and opt for an audience on the Day of Judgment.”It goes on to state, “It is with this issue that Muslims here in America are obligated to find a way to solve conflicts and disputes according to the principles of Islamic Law and its legal heritage of fairness and justice in a manner that is reasonable and cost effective.”In explaining Sharia law, the website states, “Stoning adulterers, cutting of the hands, polyandry and the like (all can be traced in the relevant literature and can be explained in their Islamic legal mentality and rational context in fairness and justice), are mainly a part of Islamic Criminal Law.  In fact criminal law within Islam only makes up a fraction of the Shari’ah.  It is unscholarly and unfair to generalize that type of understanding, that is Criminal Law, to compromise the whole of Islamic law if we stick to speaking in technical terms.”The website lists four “ judges :” Imam Yusuf Z.Kavakci, Imam Moujahed Bakhach, Imam Zia ul Haque Sheikh and Dr. El-badawi. It states the Islamic Tribunal resolves business disputes, divorce (Talaq) cases, community problems, serious family problems, and Khula.El-badawi restated several times that participation in the tribunal is voluntary. However, he would not discuss what happens to someone who did not follow their rulings.Bob Price is a senior political news contributor for Breitbart Texas and a member of the original Breitbart Texas team. Follow him on Twitter  @BobPriceBBTX .Read More Stories About:Comment count on this article reflects comments made on Breitbart.com and Facebook. Visit Breitbart's Facebook Page .BREITBART CONNECT
http://www.emergent.info/mcdonalds-big-mac-hoax	Claim: McDonald's will stop serving the Big Mac	false	['Daily Buzz Live', 'Fake News', 'Hoaxes']	dailybuzzlive.com	http://dailybuzzlive.com/mcdonalds-removing-big-mac-apple-pies-large-options/	2014/12/22	McDonald’s Removing Big Mac, Apple Pies And Eliminating Large Size OptionsPosted onby Daily Buzz LiveMcDonald’s Removing Big Mac, Apple Pies And Eliminating Large Size Options.McDonald’s has just announced that it will be phasing out 8 menu items the beginning of next year and most McDonald’s customers are not happy.With McDonald’s profits tanking over the recent months, the company has had to make some tough decisions to find adequate solutions for their financial distress by shrinking menu sizes. “Our intent is to have a cleaner menu board that is easier for customers to absorb,” spokeswoman Lisa McComb said in a statement. “To do so we must simplify our current menu.This means the end of the Big Mac, apple pie and large size menu items. Currently, the Big Mac has a whopping 550 calories and 29g of fat. The Apple pie contains 250 cal, and it would take a full 69 minute to walk that off! With that being said, those two menu items were not a tough decision for elimination.McDonald’s is currently testing out a new version of their slim down menu in Delaware, Little Rock, Waco, Bakersfield, Macon and Knoxville. They plan a full nationwide rollout beginning February 1, 2015.One notable “ingredient” – preservatives – might also be eliminated from the menu altogether. Mark Andrés, President of McDonald’s USA, sparked widespread speculation when he asked investors, “Why do we need to have preservatives in our food?” And then answered himself with a “We probably don’t.”What do you think about this new menu transformation at McDonald’s? In an attempt to make America healthier, do you think it will work?
http://www.emergent.info/black-friday-plot-hoax	Claim: There was a terrorist plot to target Black Friday shopppers	false	['Hoaxes', 'Terrorism']	nationalreport.net	http://nationalreport.net/terror-plot-targeting-black-friday-shoppers-uncovered/	2014/11/26	"b""The page you've requested can not be displayed. It appears you've missed your intended destination, either through a bad or outdated link, or a typo in the page you were hoping to reach."""
http://www.emergent.info/NSA-elf-on-shelf	Claim: Popular Christmas toy Elf On The Shelf is an espionage project run by the National Security Agency	false	['Elf On the Shelf', 'Fake News', 'Hoaxes']	duffelblog.com	http://www.duffelblog.com/2014/12/elf-on-a-shelf-snowden/	2014/12/17	Share TweetSTOCKHOLM — Speaking via Google Hangout to officials in Sweden last week, former NSA Contractor Edward Snowden dropped a bag of coal on his former employers by revealing the hugely popular “Elf on a Shelf” trend is actually an intelligence gathering operation originating with and run by the National Security Agency.“It actually started out as a joke,” Snowden said in his speech. “Someone photocopied a picture of an elf with the caption ‘I’m watching you,’ and it just kept moving from cubicle to cubicle.”Snowden said that at some point it occurred to someone that if people as paranoid as NSA staff would play this game, what would happen with civilians?“Now, the NSA has an agent inside practically every home with a child in it,” Snowden said.“The elves have basic mobility, which isn’t a problem because when one shows up someplace unexpected,” Snowden added, “it’s just assumed to be part of the game.”Through these adorable snoops, the NSA has gained access to millions of tax returns, bank statements, and 10-year old boys unwrapping and re-wrapping their presents in the days ahead of Christmas.“We would flag those kids for later recruitment to the intelligence community,” Snowden said. “Especially for  Tailored Access Operations .”In addition, the NSA has uncovered a trove of data about the personal lives of millions of Americans, sources confirmed.“The NSA has incorporated advanced sensors into these things that can uncover all kinds of information,” journalist Glenn Greenwald told Duffel Blog in an email.  “They can tell things about people’s health — cancer, heart disease, liver disease. They know who’s being naughty, and who’s being really naughty, things that even extensive online snooping couldn’t provide. Dildos, vibrators, chains — all the things stashed in closets and under beds.”Sources told reporters these were previously inaccessible to the government’s leading intelligence agency, if the owners paid cash at least.“If you want to know why the ‘privacy advocates’ have settled down, and moved on? My guess is, blackmail. These elves have accumulated petabytes of evidence against pretty much everybody,” Snowden said.“You wouldn’t believe what perverse things people will do to each other, right in front of these things,” Snowden concluded. “It’s why ‘ElfMonitor’ is such a highly sought after duty assignment.”Recommended For You:
