page	claim	claim_label	tags	claim_source_domain	claim_source_url	date
https://www.factcheck.org/2018/03/viral-nasa-story-gets-science-wrong/	Viral NASA Story Gets Science Wrong	false	['chemtrails', 'environment', 'health', 'NASA']			March 30, 2018
https://www.factcheck.org/2018/03/emma-stone-didnt-commend-trump/	Emma Stone Didn’t Commend Trump	false	['false stories', 'Donald Trump', 'Emma Stone']			March 30, 2018
https://www.factcheck.org/2018/03/no-seizure-of-clinton-foundation-cash/	No Seizure of Clinton Foundation Cash	false	['International', 'Clinton Foundation', 'false stories', 'Bill Clinton', 'Chelsea Clinton', 'Hillary Clinton']			March 30, 2018
https://www.factcheck.org/2018/03/politics-roiled-by-royal-wedding-rumors/	Politics Roiled by Royal Wedding Rumors?	unverified	['International', 'false stories', 'Barack Obama', 'Donald Trump', 'Michelle Obama']			March 30, 2018
https://www.factcheck.org/2018/03/no-shootings-at-march-for-our-lives/	No Shootings at ‘March for Our Lives’	false	['National', 'false stories']			March 29, 2018
https://www.factcheck.org/2018/03/no-truth-in-isis-obama-speed-dial-story/	No Truth in ISIS-Obama Speed Dial Story	false	['false stories', 'ISIS', 'Barack Obama']			March 28, 2018
https://www.factcheck.org/2018/03/pelosi-isnt-calling-for-trumps-impeachment/	Pelosi Isn’t Calling for Trump’s Impeachment	false	['National', 'false stories', 'impeachment', 'Donald Trump', 'Nancy Pelosi']			March 27, 2018
https://www.factcheck.org/2018/03/female-led-company-didnt-build-collapsed-bridge/	‘Female-Led’ Company Didn’t Build Collapsed Bridge	false	['false stories']			March 23, 2018
https://www.factcheck.org/2018/03/no-raid-on-obama-home/	No Raid on Obama Home	false	['Washington D.C.', 'Barack Obama']			March 23, 2018
https://www.factcheck.org/2018/03/cyrus-didnt-say-trump-fans-destroying-career/	Cyrus Didn’t Say Trump Fans ‘Destroying’ Career	false	['false news', 'Donald Trump', 'Miley Cyrus']			March 20, 2018
https://www.factcheck.org/2018/03/u-s-schools-already-teach-arabic-numerals/	U.S. Schools Already Teach Arabic Numerals	false	['California', 'false stories', 'Jerry Brown']			March 19, 2018
https://www.factcheck.org/2018/03/coke-and-nestle-arent-buying-the-guarani-aquifer/	Coke and Nestlé Aren’t Buying The Guarani Aquifer	false	['International', 'corporations', 'false stories', 'water']			March 16, 2018
https://www.factcheck.org/2018/03/a-judge-hasnt-invalidated-pa-election-results/	A Judge Hasn’t Invalidated PA Election Results	false	['Pennsylvania', 'special election', 'Conor Lamb', 'Rick Saccone']			March 16, 2018
https://www.factcheck.org/2018/03/no-russian-arrest-warrant-george-soros/	No Russian Arrest Warrant for George Soros	false	['International', 'false stories', 'George Soros', 'Vladimir Putin']			March 14, 2018
https://www.factcheck.org/2018/03/obama-not-ordered-pay-400m-restitution/	Obama Not Ordered to Pay $400M Restitution	false	['International', 'Iran', 'Barack Obama']			March 14, 2018
https://www.factcheck.org/2018/03/trey-gowdy-not-given-highest-security-clearance/	Trey Gowdy Not Given Highest Security Clearance	false	['Security clearance', 'Trey Gowdy']			March 13, 2018
https://www.factcheck.org/2018/03/keanu-reeves-didnt-praise-trump/	Keanu Reeves Didn’t Praise Trump	false	['National', 'false stories', 'Keanu Reeves']			March 9, 2018
https://www.factcheck.org/2018/03/california-isnt-planning-to-automatically-register-undocumented-immigrants-to-vote/	California Won’t Register ‘Illegal’ Voters	false	['Illegal immigration', 'motor voter', 'voter fraud', 'Jerry Brown']			March 8, 2018
https://www.factcheck.org/2018/03/ivanka-trump-hasnt-fired/	Ivanka Trump Hasn’t Been Fired	false	['National', 'falsehoods', 'Ivanka Trump']			March 7, 2018
https://www.factcheck.org/2018/03/georgia-didnt-ban-muslim-culture/	Georgia Didn’t Ban Muslim Culture	false	['Georgia', 'falsehoods', 'Islam']			March 2, 2018
https://www.factcheck.org/2018/02/sandy-hook-hoax-revisited/	Sandy Hook Hoax Revisited	false	['National', 'conspiracy theories', 'school shooting']			February 28, 2018
https://www.factcheck.org/2018/02/malia-obama-didnt-attack-elderly-woman/	Malia Obama Didn’t Attack Elderly Woman	false	['Malia Obama']			February 27, 2018
https://www.factcheck.org/2018/02/shaking-bushes-quote-trump/	Shaking the Bushes for Quote About Trump	false	['National', 'falsehoods', 'Donald Trump', 'George W. Bush']			February 27, 2018
https://www.factcheck.org/2018/02/phony-yearbook-photo/	Phony Yearbook Photo	false	['Florida', 'conspiracy theories', 'gun control', 'school shooting']			February 25, 2018
https://www.factcheck.org/2018/02/no-federal-ban-smoking-children-car/	No Federal Ban on Smoking in Cars with Children	false	['National', 'smoking']			February 22, 2018
https://www.factcheck.org/2018/02/no-crisis-actors-parkland-florida/	No ‘Crisis Actors’ in Parkland, Florida	false	['Florida', 'conspiracy theories', 'falsehoods', 'gun violence', 'school shooting']			February 22, 2018
https://www.factcheck.org/2018/02/made-michelle-obama-quote/	Made-up Michelle Obama Quote	false	['National', 'falsehoods', 'gun violence', 'school shooting', 'Michelle Obama']			February 21, 2018
https://www.factcheck.org/2018/02/florida-shooter-not-registered-dem/	Florida Shooter Not Registered Dem	false	['Florida', 'gun violence', 'school shooting', 'Nikolas Jacob Cruz']			February 20, 2018
https://www.factcheck.org/2018/02/horner-hoax-remix/	Horner Hoax Remix	false	['National', 'falsehoods', 'Hoaxes', 'Paul Horner']			February 16, 2018
https://www.factcheck.org/2018/02/philip-morris-not-selling-marijuana-cigarettes/	Philip Morris Not Selling Marijuana Cigarettes	false	['National', 'marijuana']			February 15, 2018
https://www.factcheck.org/2018/02/4-million-democratic-votes-werent-discounted/	4 Million Democratic Votes Weren’t Discounted	false	['National', 'voting']			February 14, 2018
https://www.factcheck.org/2018/02/no-black-lives-matter-embezzlement-scandal/	No Black Lives Matter Embezzlement Scandal	false	['National', 'black lives matter', 'falsehoods']			February 9, 2018
https://www.factcheck.org/2018/02/adam-schiff-george-soros-not-laws/	Adam Schiff and George Soros Not In-Laws	false	['Russia investigation', 'Adam Schiff', 'George Soros']			February 8, 2018
https://www.factcheck.org/2018/02/pluto-not-reclassified-planet/	Pluto Not Reclassified as a Planet	false	['pluto', 'space']			February 7, 2018
https://www.factcheck.org/2018/02/no-logan-act-charges-john-kerry/	No Logan Act Charges Against John Kerry	false	['National', 'fake news', 'foreign policy', 'John Kerry']			February 2, 2018
https://www.factcheck.org/2018/01/parton-dolly-didnt-praise-trump/	Parton Me? Dolly Didn’t Praise Trump	false	['National', 'Celebrity', 'fake news', 'Dolly Parton']			January 30, 2018
https://www.factcheck.org/2018/01/teaching-islam-hasnt-banned/	Teaching About Islam Hasn’t Been Banned	false	['National', 'fake news', 'Islam', 'supreme court']			January 29, 2018
