page	claim	claim_label	tags	claim_source_domain	claim_source_url	date
https://www.factcheck.org/2018/05/no-antifa-connection-in-texas-school-shooting/	No Antifa Connection in Texas School Shooting	false	['National', 'Texas', 'conspiracy theories', 'false stories', 'school shooting', 'Mike Cernovich']			2018/05/22
https://www.factcheck.org/2018/05/santa-fe-gunman-didnt-proclaim-love-for-obama/	Santa Fe Gunman Didn’t Proclaim ‘Love for Obama’	false	['Texas', 'school shooting', 'Dimitrios Pagourtzis']	https://dailyworldupdate.us/	https://dailyworldupdate.us/about/	2018/05/21
https://www.factcheck.org/2018/05/deadly-pot-not-approved-by-the-fda/	Deadly ‘Pot’ Not Approved by The FDA	false	['Illinois', 'National', 'drugs', 'false stories']	http://dph.illinois.gov/	http://dph.illinois.gov/topics-services/prevention-wellness/medical-cannabis/synthetic-cannabinoids	2018/05/18
https://www.factcheck.org/2018/05/no-arrests-of-sanctuary-city-leaders/	No Arrests of ‘Sanctuary City’ Leaders	false	['Illegal immigration', 'sanctuary cities', 'Donald Trump', 'Kirstjen Nielsen', 'Thomas Homan']	https://www.hsdl.org/	https://www.hsdl.org/?abstract&did=37589	2018/05/17
https://www.factcheck.org/2018/05/paul-ryan-didnt-violate-campaign-finance-laws/	Paul Ryan Didn’t Violate Campaign Finance Laws	false	['National', 'campaign finance laws', 'false stories', 'Paul Ryan', 'Sheldon Adelson']	https://www.politico.com/	https://www.politico.com/story/2018/05/10/adelson-republicans-midterms-579436	2018/05/17
https://www.factcheck.org/2018/05/john-kerry-not-facing-prison/	John Kerry Not ‘Facing Prison’	false	['National', 'false stories', 'Iran nuclear deal', 'John Kerry']	https://web.archive.org/	https://web.archive.org/web/20180511195320/https://www.conservativestories.com/2018/05/10/john-kerry-facing-prison-interfering-iran/	2018/05/15
https://www.factcheck.org/2018/05/sessions-not-caught-colluding-with-obama/	Sessions Not ‘Caught Colluding’ With Obama	false	['Barack Obama', 'Jeff Sessions']	https://www.c-span.org/	https://www.c-span.org/video/?424859-1/attorney-general-jeff-sessions-recuses-russia-trump-campaign-investigations	2018/05/14
https://www.factcheck.org/2018/05/clinton-wasnt-named-ny-attorney-general/	Clinton Wasn’t Named NY Attorney General	false	['Andrew Cuomo', 'Eric Schneiderman', 'Hillary Clinton']	https://www.newyorker.com/	https://www.newyorker.com/news/news-desk/four-women-accuse-new-yorks-attorney-general-of-physical-abuse	2018/05/10
https://www.factcheck.org/2018/05/what-michelle-obama-actually-said/	What Michelle Obama Actually Said	false	['Donald Trump', 'Michelle Obama']	http://webcache.googleusercontent.com/	http://webcache.googleusercontent.com/search?q=cache:http://quickdailyupdates.com/index.php/2018/05/07/after-michelle-says-stupid-women-elected-trump-melania-gives-her-nasty-surprise/	2018/05/09
https://www.factcheck.org/2018/05/eastwood-not-leaving-estate-to-trump-campaign/	Eastwood Not Leaving Estate to Trump Campaign	false	['National', 'Clint Eastwood', 'Donald Trump']	https://dailyworldupdate.us/	https://dailyworldupdate.us/about/	2018/05/08
https://www.factcheck.org/2018/05/no-release-of-private-trump-tapes/	No Release of ‘Private’ Trump Tapes	false	['National', 'false stories', 'Donald Trump', 'james comey']	http://www.accessonline.com/	http://www.accessonline.com/videos/access-archive-donald-trumps-shocking-2005-comments-about-women/	2018/05/04
https://www.factcheck.org/2018/05/michelle-wolf-not-booted-from-hulu/	Michelle Wolf Not Booted From Hulu	false	['false stories', 'Michelle Wolf']			2018/05/04
https://www.factcheck.org/2018/05/false-headline-in-philly-starbucks-settlement/	False Headline in Philly Starbucks Settlement	false	['Philadelphia', 'racism']	https://news.starbucks.com/	https://news.starbucks.com/press-releases/starbucks-reaches-agreement-with-donte-robinson-and-rashon-nelson	2018/05/04
https://www.factcheck.org/2018/05/michelle-wolf-not-fired-from-comedy-central/	Michelle Wolf Not Fired From Comedy Central	false	['National', 'false stories', 'Donald Trump', 'Michelle Wolf']			2018/05/02
https://www.factcheck.org/2018/05/false-story-ties-sex-cult-to-clintons/	False Story Ties Sex Cult to Clintons	false	['New York', 'sex trafficking', 'Allison Mack', 'Keith Raniere']	https://www.justice.gov/	https://www.justice.gov/usao-edny/pr/founder-nxivm-purported-self-help-organization-and-actor-indicted-sex-trafficking-and	2018/05/02
