page	claim	claim_label	tags	claim_source_domain	claim_source_url	date
http://www.politifact.com/wisconsin/statements/2018/may/23/andy-gronik/democratic-candidate-governor-says-he-lives-milwau/	"""I’ve lived"" in Milwaukee ""all 61 years of my life."" "	mostly false	['Candidate Biography', 'Education', 'Population']			2018/05/23
http://www.politifact.com/north-carolina/statements/2018/may/22/david-rouzer/congressman-deal-ensured-iran-could-hit-us-nuclear/	"""The #irandeal ultimately would have guaranteed Iran a nuclear bomb capable of reaching the US."""	false	['Iran', 'Military', 'Nuclear']			2018/05/22
http://www.politifact.com/truth-o-meter/statements/2018/may/22/tina-smith/minimum-wage-worth-less-now-50-years-ago/	"""Taking into account inflation, the federal minimum wage is actually worth less than what it was worth 50 years ago."""	true	['Economy']			2018/05/22
http://www.politifact.com/truth-o-meter/statements/2018/may/22/oliver-north/no-connection-ritalin-school-shootings-nra/	"Perpetrators of school shootings ""have been drugged in many cases … many of these young boys have been on Ritalin since they were in kindergarten."""	false	['Drugs', 'Guns']	http://www.foxnews.com/	http://www.foxnews.com/transcript/2018/05/20/oliver-north-on-nras-response-to-texas-school-shooting-sen-lindsey-graham-on-status-trump-kim-summit.html	2018/05/22
http://www.politifact.com/florida/statements/2018/may/21/gwen-graham/have-more-students-been-killed-schools-soldiers-co/	"""So far this year, more students have been killed in schools than soldiers in combat zones."""	mostly true	['Children', 'Guns', 'Military']	https://www.washingtonpost.com/	https://www.washingtonpost.com/news/politics/wp/2018/05/18/2018-has-been-deadlier-for-schoolchildren-than-service-members/?utm_term=.fe0b55939afe	2018/05/21
http://www.politifact.com/punditfact/statements/2018/may/21/daily-world-update/no-evidence-santa-fe-killer-expressed-love-obama/	"""Breaking: Santa Fe killer expresses his love for Obama."""	pants on fire!	['Crime', 'Fake news']	https://dailyworldupdate.us/	https://dailyworldupdate.us/2018/05/18/breaking-santa-fe-killer-confesses-his-love-for-obama/	2018/05/21
http://www.politifact.com/truth-o-meter/statements/2018/may/21/mo-brooks/mo-brooks-incomplete-comments-antarctic-ice/	"""You’re going to have an increase in the amount of ice in Antarctica because of global warming."""	mostly false	['Climate Change', 'Environment']	https://science.house.gov/	https://science.house.gov/legislation/hearings/full-committee-hearing-using-technology-address-climate-change	2018/05/21
http://www.politifact.com/wisconsin/statements/2018/may/18/leah-vukmir/pants-fire-attack-without-evidence-links-us-sen-ta/	"Says Tammy Baldwin is ""more worried about the mastermind of 9/11"" than supporting CIA director nominee Gina Haspel. "	pants on fire!	['Homeland Security', 'Patriotism', 'Terrorism']	https://www.wtmj.com/	https://www.wtmj.com/scaffidi-and-bilstad	2018/05/18
http://www.politifact.com/truth-o-meter/statements/2018/may/17/blog-posting/no-maxine-waters-comment-anderson-cooper-meme-made/	"Say Maxine Waters told CNN’s Anderson Cooper that her first act as president would be to ""impeach Donald Trump."""	pants on fire!	['Fake news']			2018/05/17
http://www.politifact.com/florida/statements/2018/may/17/blog-posting/no-donald-trump-isnt-donating-his-kidney-melania/	"""BREAKING NEWS: Donald Trump On His Way To Donate Kidney To Melania Trump."""	pants on fire!	['Fake news']	https://www.cnn.com/	https://www.cnn.com/2018/05/14/politics/melania-trump-surgery/index.html	2018/05/17
http://www.politifact.com/ohio/statements/2018/may/17/keith-faber/ohio-auditor-candidate-misleads-about-his-role-onl/	"""Thanks to the strong charter school reforms put in place while I was Senate President"" the online charter school ECOT ""was caught and is out of business."" "	mostly false	['Education']	https://docs.google.com/	https://docs.google.com/document/d/1rJVqpUqoWd4oAFNJChVgQDFoBGF_lXbWL06A8qMaPug/edit	2018/05/17
http://www.politifact.com/punditfact/statements/2018/may/17/true-american/ohio-opioid-crisis-real-headline-misleading/	"""BREAKING: 60 people just found dead in Ohio"""	false	['Drugs', 'Fake news']	http://24trueinfoamerica.com/	http://24trueinfoamerica.com/breaking-60-people-just-found-dead-in-ohio	2018/05/17
http://www.politifact.com/punditfact/statements/2018/may/17/blog-posting/prince-william-plans-go-royal-wedding-contrary-spe/	"""Prince William May Not Attend Royal Wedding Leaving Harry Without a Best Man; Princess Diana Would Not Be Happy"""	pants on fire!	['Fake news']	https://www.inspiringday.com/	https://www.inspiringday.com/prince_william_may_not_attend_royal_wedding_leaving_prince_harry_without_a_best_man	2018/05/17
http://www.politifact.com/punditfact/statements/2018/may/17/blog-posting/did-sidney-poitier-say-trump-will-be-goat/	"""Legendary Actor Sidney Poitier: Donald Trump might become 'The Greatest Of All Time.' "" "	pants on fire!	['Fake news']			2018/05/17
http://www.politifact.com/florida/statements/2018/may/17/collective-super-pac/did-gwen-graham-vote-against-president-obama-52-pe/	"Says Gwen Graham ""voted against President Obama 52 percent of the time."""	half-true	['Voting Record']			2018/05/17
http://www.politifact.com/wisconsin/statements/2018/may/17/tom-palzewicz/pants-fire-claim-40-year-wisconsin-congressman-has/	"Says Jim Sensenbrenner ""has been in office for 40 years"" and ""he's led on exactly one bill,"" the Patriot Act."	pants on fire!	['Candidate Biography', 'Congress', 'Terrorism']			2018/05/17
http://www.politifact.com/california/statements/2018/may/16/john-chiang/fact-checking-tv-ads-false-claim-antonio-villaraig/	"Antonio Villaraigosa's ""recklessness (as mayor of Los Angeles)  ... left no funding to test 7,000 rape kits, putting public safety at risk."""	false	"['Crime', 'Public Health', 'Public Safety', ""The 2018 California Governor's Race""]"	http://www.latimes.com/	http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-may-2018-chiang-attacks-villaraigosa-s-record-as-1526156938-htmlstory.html#nt=card	2018/05/16
http://www.politifact.com/texas/statements/2018/may/16/steve-adler/steve-adler-incorrectly-says-austin-creating-more-/	"Says Austin is ""creating more jobs than any other city in the country."" "	false	['Economy', 'Jobs']	https://omny.fm/	https://omny.fm/shows/the-todd-don-show/todd-and-don-show-may-8-2018-hour-3	2018/05/16
http://www.politifact.com/truth-o-meter/statements/2018/may/16/mike-pence/mike-pence-right-religion-gaining-new-life-us/	"""Religion in America isn’t receding. It’s just the opposite. Faith is gaining new life across America every day."""	half-true	['Religion']	https://www.whitehouse.gov/	https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-hillsdale-college-166th-commencement-ceremony/	2018/05/16
http://www.politifact.com/texas/statements/2018/may/16/lupe-valdez/lupe-valdez-says-texas-schools-some-counties-shut-/	"""There are some counties in Texas where the first day of hunting, you have to shut down the schools because people are going to go hunting."""	false	['Children', 'Education', 'Recreation']			2018/05/16
http://www.politifact.com/wisconsin/statements/2018/may/16/randy-bryce/randy-bryce-has-never-held-public-office-his-4th-r/	Says he’s not a politician.	mostly false	['Candidate Biography', 'Congress', 'Elections']			2018/05/16
http://www.politifact.com/north-carolina/statements/2018/may/15/stokes-county-school-teacher/nc-teacher-i-make-53-day-records-show-hes-wrong/	"""I am roughly being paid $53 a day to educate your child."""	false	['Education', 'State Budget']	https://www.wfmynews2.com/	https://www.wfmynews2.com/article/news/local/im-paid-53-a-day-to-educate-your-child-nc-teacher-posts-copy-of-paycheck/83-551080518	2018/05/15
http://www.politifact.com/illinois/statements/2018/may/15/jeff-sessions/aclu-really-blame-chicagos-murder-spike/	"A legal settlement that reined in Chicago police ""resulted in approximately 236 additional victims killed and over 1,100 additional shootings in 2016 alone."""	mostly false	['Crime']	https://www.justice.gov/	https://www.justice.gov/opa/speech/attorney-general-sessions-delivers-remarks-gatlinburg-law-enforcement-training-conference	2018/05/15
http://www.politifact.com/texas/statements/2018/may/15/andrew-white/andrew-white-cecile-richards-abortion-wrong-room-/	"Says Cecile Richards recently said there’s room in ""her movement"" for people who personally believe abortion is wrong."	mostly true	['Abortion']	http://www.kxan.com/	http://www.kxan.com/video/full-video-democratic-candidates-for-texas-governor-face-off-in-lone-debate_20180512020805/1174482592	2018/05/15
http://www.politifact.com/punditfact/statements/2018/may/15/political-voice/no-rudy-giuliani-didnt-quit-trump-legal-team/	"""Official: Rudy Giuliani officially resigns, Trump’s legal team on it's last leg."""	false	['Fake news']	http://hotgazette.com/	http://hotgazette.com/rudy-giuliani/official-rudy-giuliani-officially-resigns-trumps-legal-team-on-its-last-leg/	2018/05/15
http://www.politifact.com/truth-o-meter/statements/2018/may/15/donald-trump/donald-trump-exaggerates-number-ms-13-gang-members/	"Says of MS-13 gang members, ""We are getting them out of our country by the thousands."""	mostly false	['Crime', 'Homeland Security', 'Immigration']	https://www.c-span.org/	https://www.c-span.org/video/?445603-1/president-trump-addresses-national-peace-officers-memorial-service	2018/05/15
http://www.politifact.com/truth-o-meter/statements/2018/may/15/donald-trump/police-officer-assaulted-every-10-minutes/	"""In 2016, an officer was assaulted in America on an average of every 10 minutes."""	mostly true	['Crime']			2018/05/15
http://www.politifact.com/punditfact/statements/2018/may/15/blog-posting/fabricated-headline-says-julia-roberts-told-celine/	"Says Julia Roberts told Celine Dion, ""If you hate Trump you can go in your country."""	pants on fire!	['Fake news']			2018/05/15
